,track_name,artist_name,energy,key,speechiness,acousticness,instrumentalness,liveness
168,C'Mon,Kesha,0.781,1,0.0963,0.00657,0.00144,0.102
169,Hall of Fame (feat. will.i.am),The Script,0.873,10,0.0564,0.0654,0.0,0.123
170,All I Want for Christmas Is You,Mariah Carey,0.627,7,0.0384,0.164,0.0,0.0708
171,Jingle Bell Rock,Bobby Helms,0.424,2,0.0363,0.643,0.0,0.0652
172,If the World Was Ending (feat. Julia Michaels),JP Saxe,0.473,1,0.129,0.866,0.0,0.109
173,Tequila,The Champs,0.528,10,0.0385,0.752,0.684,0.0493
174,Say So,Doja Cat,0.673,11,0.159,0.264,3.35e-06,0.0904
175,Get Up (feat. Chamillionaire),Ciara,0.631,1,0.114,0.0366,1.8e-06,0.0311
176,Not What I Meant (feat. Lewis Watson),dodie,0.273,0,0.043,0.792,0.00223,0.109
177,The Weekend - Funk Wav Remix,SZA,0.573,11,0.0585,0.495,0.0,0.126
178,A Thousand Years,Christina Perri,0.407,10,0.0267,0.309,0.000961,0.11
179,Mr. Saxobeat - Radio Edit,Alexandra Stan,0.925,4,0.0511,0.0276,0.000238,0.14
180,We R Who We R,Kesha,0.817,8,0.0407,0.00987,0.00167,0.117
181,Crank That (Soulja Boy),Soulja Boy,0.74,0,0.0786,0.515,0.0,0.0468
182,No More ?'s,Eazy-E,0.805,7,0.225,0.0143,1.53e-06,0.298
183,Y U Gotta B Like That,Audrey Mika,0.413,9,0.0702,0.287,0.0,0.0565
184,Kill the Director,The Wombats,0.858,1,0.0485,0.00347,0.0,0.0897
185,Ligma,Billy Marchiafava,0.397,8,0.418,0.0915,0.0,0.0919
186,Airplane Mode,Limbo,0.373,7,0.158,0.852,0.118,0.108
187,It's You,Ali Gatie,0.463,11,0.0287,0.374,0.0,0.194
188,Baby Yoda,Song a Day,0.408,2,0.206,0.373,0.0685,0.118
189,"Monsters, Inc.",Randy Newman,0.465,8,0.029,0.743,0.676,0.136
190,hot girl bummer,blackbear,0.559,6,0.0776,0.128,0.0,0.399
191,Get Down,SIX,0.406,4,0.102,0.00986,0.0,0.0509
192,Falling,Trevor Daniel,0.43,10,0.0364,0.123,0.0,0.0887
193,successful,Ariana Grande,0.603,0,0.0397,0.107,7.4e-06,0.106
194,Chucky Cheese,MadeinTYO,0.542,10,0.314,0.523,0.0,0.123
195,Sin City,Chrishan,0.225,4,0.457,0.676,0.0,0.0938
196,MICKEY,Lil Yachty,0.465,1,0.23,0.0295,0.0,0.097
197,Another Day Of Sun,La La Land Cast,0.742,8,0.0528,0.0162,3.98e-06,0.653
198,Forget Me Thots,Yung Gravy,0.737,6,0.16,0.243,4.11e-05,0.109
199,Act Up,City Girls,0.638,8,0.189,0.0167,0.0,0.111
200,This Is for Rachel,Gxrrixon,0.461,8,0.515,0.161,1.78e-06,0.089
201,Hokus Pokus,Insane Clown Posse,0.841,11,0.0948,0.0193,7.71e-05,0.333
202,恋愛サーキュレーション,物語シリーズ,0.785,1,0.0396,0.0524,0.00111,0.111
203,WTF,Young Spool,0.791,8,0.324,0.372,6.22e-05,0.471
204,223's (feat. 9lokknine),YNW Melly,0.547,0,0.333,0.0388,0.0,0.0924
205,cheatercheaterbestfriendeater,Never Shout Never,0.683,7,0.0604,0.388,0.0,0.286
206,Myself,Bazzi,0.561,9,0.072,0.465,1.12e-06,0.0338
207,Obsessed,Mariah Carey,0.468,10,0.0625,0.0465,0.0,0.826
208,GOODMORNINGTOKYO!,TOKYO’S REVENGE,0.539,4,0.36,0.0408,0.0,0.253
209,Walked In,Ultradiox,0.538,2,0.394,0.123,0.0,0.0848
210,Psycho!,MASN,0.365,7,0.0383,0.433,0.0,0.207
211,You Need To Calm Down,Taylor Swift,0.671,2,0.0553,0.00929,0.0,0.0637
212,Moskau,Dschinghis Khan,0.724,5,0.039,0.0681,9.29e-05,0.139
213,Big Fun,Jon Eidson,0.681,8,0.232,0.538,0.0,0.555
214,Eenie Meenie,Sean Kingston,0.607,1,0.0322,0.0543,0.0,0.113
215,Stereo Love,Edward Maya,0.728,9,0.0359,0.0174,0.0299,0.0779
216,Never Ever Getting Rid of Me,Christopher Fitzgerald,0.542,7,0.051,0.387,0.0,0.114
217,Wanna Be Like You,Jacob,0.363,5,0.101,0.487,3.41e-06,0.205
218,Skinny Legend Anthem,Ava Louise,0.518,11,0.299,0.0703,0.0,0.122
219,Material Girl,Madonna,0.883,0,0.0329,0.333,7.51e-06,0.0964
220,I Wish - Radio Edit,Skee-Lo,0.738,7,0.157,0.00826,0.0,0.26
221,Oh No I Got a Disease,Buss Crew,0.735,10,0.73,0.146,0.0,0.124
222,Woahh,Jufu,0.283,0,0.328,0.618,3.73e-06,0.0825
223,Say So,Doja Cat,0.673,11,0.159,0.264,3.35e-06,0.0904
224,Blinding Lights,The Weeknd,0.73,1,0.0598,0.00146,9.54e-05,0.0897
