,energy,key,speechiness,acousticness,instrumentalness,liveness,popularity
301,0.323,11,0.295,0.347,0.904,0.1,0
302,0.352,9,0.0885,0.93,0.953,0.168,0
303,0.407,0,0.0713,0.931,0.915,0.304,0
304,0.187,4,0.0679,0.943,0.934,0.351,0
305,0.361,9,0.0981,0.87,0.659,0.0493,0
306,0.252,9,0.126,0.687,0.92,0.142,0
307,0.238,10,0.0777,0.946,0.939,0.249,0
308,0.406,0,0.0732,0.944,0.852,0.0788,0
309,0.673,6,0.0364,0.000403,0.532,0.0464,0
310,0.345,9,0.134,0.0119,0.931,0.497,0
311,0.667,0,0.0453,0.523,0.0,0.125,0
312,0.757,9,0.493,0.00123,0.873,0.132,0
313,0.385,0,0.0621,0.000878,0.754,0.184,0
314,0.545,10,0.0303,9.6e-05,0.848,0.29,0
315,0.43,7,0.0702,0.00421,0.731,0.678,0
316,0.426,10,0.0817,0.167,0.874,0.1,0
317,0.476,0,0.0804,0.159,0.88,0.383,0
318,0.551,11,0.0429,0.0505,0.909,0.276,0
319,0.685,9,0.0622,0.00127,0.907,0.159,0
320,0.339,0,0.069,0.0012,0.781,0.0699,0
321,0.398,5,0.0497,0.00104,0.169,0.0767,0
322,0.222,3,0.0867,0.113,0.856,0.12,0
323,0.311,11,0.0281,0.58,0.133,0.12,0
324,0.408,9,0.0492,0.175,0.775,0.335,0
325,0.211,2,0.534,0.917,0.836,0.114,0
326,0.629,4,0.426,0.979,0.963,0.278,0
327,0.0872,2,0.134,0.793,2.85e-05,0.255,0
328,0.371,1,0.276,0.718,0.136,0.43,0
329,0.536,9,0.51,0.0486,1.92e-06,0.121,0
330,0.472,1,0.277,0.235,0.488,0.157,0
331,0.494,2,0.235,0.221,0.0,0.0888,0
332,0.196,9,0.0794,0.168,1.45e-05,0.107,0
333,0.405,11,0.42,0.068,5.87e-05,0.286,0
334,0.54,1,0.236,0.0365,0.0,0.345,0
335,0.851,3,0.378,0.556,4.75e-05,0.349,0
336,0.563,11,0.289,0.0616,0.0584,0.119,0
337,0.564,3,0.0322,0.0149,0.771,0.227,0
338,0.679,1,0.253,0.00222,0.0,0.0868,0
339,0.537,7,0.313,0.00242,0.0,0.0858,0
340,0.661,7,0.0894,0.00533,0.0,0.14,0
341,0.478,5,0.237,0.00842,0.0,0.126,0
342,0.627,4,0.0443,0.0147,0.0,0.231,0
343,0.643,10,0.183,0.00299,0.0,0.166,0
344,0.457,2,0.207,0.00736,0.0,0.174,0
345,0.475,0,0.121,0.135,0.876,0.15,0
346,0.458,8,0.376,0.108,0.0,0.128,0
347,0.698,6,0.226,0.0379,0.0,0.619,0
348,0.569,4,0.0566,0.644,0.00974,0.106,0
349,0.647,11,0.0324,0.00134,0.0,0.103,0
350,0.0044,9,0.9,0.859,0.896,0.0815,0
351,0.449,4,0.0444,0.907,0.818,0.234,0
352,0.0506,2,0.111,0.993,0.887,0.113,0
353,0.223,0,0.0586,0.994,0.929,0.13,0
354,0.224,3,0.0441,0.952,0.807,0.125,0
355,0.129,0,0.119,0.976,0.951,0.136,0
356,0.145,5,0.0841,0.991,0.908,0.138,0
357,0.105,2,0.0452,0.994,0.851,0.137,0
358,0.265,4,0.059,0.989,0.928,0.156,0
359,0.189,3,0.0369,0.962,0.82,0.13,0
360,0.396,11,0.109,0.129,1.33e-05,0.197,0
361,0.691,9,0.287,0.25,0.0,0.123,0
362,0.71,1,0.246,0.323,0.0,0.179,0
363,0.388,0,0.0427,0.872,0.0,0.345,0
364,0.0801,11,0.0302,0.0296,0.921,0.0804,0
365,0.135,11,0.0957,0.89,0.724,0.171,0
366,0.316,1,0.0502,0.702,0.946,0.109,0
367,0.563,0,0.32,0.0231,0.0,0.0696,0
368,0.624,9,0.0895,0.768,0.935,0.111,0
369,0.444,3,0.0498,0.967,0.934,0.114,0
370,0.506,0,0.0731,0.219,0.839,0.0961,0
371,0.42,6,0.424,0.105,1.79e-05,0.0453,0
372,0.683,8,0.138,0.0721,0.0,0.129,0
373,0.746,6,0.278,0.0354,0.0,0.0565,0
374,0.753,7,0.327,0.171,0.0,0.337,0
375,0.664,5,0.229,0.0059,0.0,0.237,0
376,0.747,5,0.167,0.069,0.0,0.105,0
377,0.738,8,0.464,0.201,0.0,0.157,0
378,0.687,6,0.135,0.0755,0.0,0.103,0
379,0.448,9,0.366,0.0215,0.0,0.288,0
380,0.903,4,0.0774,1.74e-05,0.511,0.0561,0
381,0.887,9,0.0524,1.38e-05,0.021,0.179,0
382,0.938,2,0.138,6.71e-06,0.0274,0.0604,0
383,0.908,11,0.0879,1.22e-05,0.541,0.315,0
384,0.692,8,0.329,0.0245,0.0,0.292,0
385,0.609,11,0.352,0.0492,0.00112,0.0693,0
386,0.705,11,0.321,0.307,0.0,0.174,0
387,0.654,7,0.311,0.028,2.25e-06,0.119,0
388,0.744,8,0.154,0.521,0.0186,0.186,0
389,0.55,11,0.275,0.0143,0.0,0.115,0
390,0.0256,5,0.0417,0.995,0.925,0.0775,0
391,0.39,9,0.0655,0.0712,7.22e-06,0.0805,0
392,0.594,11,0.0454,0.00325,0.885,0.0554,0
393,0.428,6,0.142,0.627,0.877,0.1,0
394,0.464,1,0.258,0.0189,0.934,0.0768,0
395,0.444,0,0.0349,0.000267,0.798,0.0831,0
396,0.612,1,0.102,0.0782,0.785,0.0909,0
397,0.441,7,0.0349,0.000689,3.68e-05,0.799,0
398,0.404,11,0.111,0.000932,0.829,0.0694,0
399,0.836,3,0.0676,0.601,0.792,0.0978,0
400,0.309,0,0.0546,0.000802,0.814,0.117,0
401,0.768,9,0.0503,0.000601,3.15e-05,0.158,0
402,0.67,5,0.041,0.017,0.000212,0.331,0
403,0.672,2,0.242,0.000489,0.0,0.172,0
404,0.419,1,0.0608,0.19,0.004,0.0883,0
405,0.649,4,0.285,0.499,9.27e-05,0.164,0
406,0.519,2,0.334,0.188,0.0,0.23,0
407,0.751,5,0.0794,0.0167,0.00081,0.358,0
408,0.395,8,0.136,0.949,0.131,0.118,0
409,0.414,7,0.333,0.385,0.00702,0.0836,0
410,0.37,10,0.102,0.319,1.36e-05,0.105,0
411,0.291,11,0.0672,0.000115,0.354,0.0409,0
412,0.629,11,0.141,0.05,0.682,0.0661,0
413,0.323,1,0.307,0.0693,0.0106,0.0648,0
414,0.308,11,0.181,0.589,1.46e-06,0.0737,0
415,0.885,6,0.0481,0.548,0.0,0.351,0
416,0.776,11,0.389,0.16,0.000411,0.301,0
417,0.831,5,0.148,0.0467,0.000263,0.297,0
418,0.595,1,0.515,0.218,2.8e-05,0.309,0
419,0.673,7,0.397,0.0841,0.0,0.203,0
420,0.818,10,0.32,0.349,0.0,0.16,0
421,0.755,1,0.324,0.283,0.0,0.0953,0
422,0.552,11,0.448,0.05,0.783,0.309,0
423,0.503,7,0.45,0.701,0.755,0.316,0
424,0.693,0,0.237,0.0149,0.0,0.233,0
425,0.688,8,0.218,0.0911,0.0,0.0472,0
426,0.688,9,0.379,0.133,0.0,0.305,0
427,0.522,1,0.367,0.18,0.0,0.205,0
428,0.437,1,0.315,0.396,1.6e-06,0.123,0
429,0.501,3,0.395,0.734,0.0,0.295,0
430,0.799,4,0.0742,0.739,0.588,0.0876,0
