,energy,key,speechiness,acousticness,instrumentalness,liveness,popularity
336,0.486,10,0.0344,0.222,1.41e-06,0.123,1
337,0.438,7,0.0719,0.177,0.0,0.0743,1
338,0.601,11,0.116,0.189,0.0002,0.426,1
339,0.789,4,0.0489,0.423,0.0,0.13,1
340,0.375,3,0.493,0.27,0.0,0.269,1
341,0.656,2,0.115,0.00451,0.000854,0.143,1
342,0.541,0,0.0493,0.042,0.0,0.0675,1
343,0.604,1,0.114,0.0838,0.0,0.261,1
344,0.692,2,0.0555,0.0221,0.0,0.224,1
345,0.652,1,0.307,0.113,0.0,0.107,1
346,0.845,7,0.0856,0.199,0.00762,0.372,1
347,0.521,1,0.443,0.213,3.87e-05,0.175,1
348,0.526,10,0.0415,0.129,0.0,0.14,1
349,0.573,0,0.253,0.00739,0.0149,0.0845,1
350,0.667,0,0.0508,0.0154,0.000341,0.125,1
351,0.668,2,0.0444,0.775,5.23e-06,0.224,1
352,0.66,1,0.0819,0.111,0.0,0.143,1
353,0.422,1,0.294,0.0319,0.00011,0.11,1
354,0.392,3,0.0563,0.0374,0.0,0.107,1
355,0.498,4,0.18,0.239,0.0,0.0967,1
356,0.443,5,0.241,0.147,0.0,0.124,1
357,0.427,2,0.106,0.0531,0.0,0.307,1
358,0.586,10,0.0559,0.104,0.0,0.79,1
359,0.657,10,0.165,0.00833,0.0026,0.054,1
360,0.39,2,0.0846,0.178,0.0,0.137,1
361,0.799,7,0.0556,0.249,0.0,0.35,1
362,0.269,1,0.567,0.018,0.068,0.108,1
363,0.691,4,0.0403,0.184,0.0259,0.205,1
364,0.426,9,0.0421,0.634,0.0,0.0695,1
365,0.712,3,0.0678,0.0706,0.0,0.236,1
366,0.32,10,0.0289,0.954,0.0,0.0948,1
367,0.574,1,0.0407,0.016,8.1e-05,0.172,1
368,0.43,0,0.0328,0.0902,0.0,0.0912,1
369,0.717,10,0.153,0.00564,0.0,0.408,1
370,0.692,5,0.0376,0.00981,0.331,0.603,1
371,0.705,1,0.299,0.000813,0.0,0.128,1
372,0.675,5,0.0286,4.14e-05,0.00126,0.0867,1
373,0.617,0,0.0847,0.258,0.0,0.122,1
374,0.544,9,0.0593,0.0481,0.0,0.0916,1
